"Time / s","Pulse Generator","Iout:Measured current"
0.00034062475492334853,1.25,10.2756041720544
0.00034067378051471254,1.25,10.330862059979864
0.00034072280610607654,1.25,10.386582545364817
0.00034077183169744059,1.25,10.442763189558718
0.00034082085728880459,1.25,10.49940156314365
0.0003408698828801686,1.25,10.5564952459343
0.0003409189084715326,1.25,10.61404182697801
0.00034096793406289665,1.25,10.672038904554768
0.00034101695965426065,1.25,10.730484086177128
0.00034108018195381362,1.25,10.806511352935573
0.00034114340425336664,1.25,10.883274769269207
0.00034120662655291961,1.25,10.960769272249209
0.00034126984885247263,1.25,11.038989823450663
0.0003413330711520256,1.25,11.117931408952629
0.00034139629345157862,1.25,11.197589039338169
0.00034145951575113159,1.25,11.277957749694238
0.00034152273805068456,1.25,11.359032599611893
0.00034158596035023758,1.25,11.440808673186055
0.00034164918264979055,1.25,11.523281079015646
0.00034172325249485726,1.25,11.620783171282085
0.00034179732233992398,1.25,11.719226580281571
0.0003418311074499385,1.25,11.764439576931395
0.00034183110744994826,1.25,11.764439576944469
0.00034189664553211795,1.25,11.851553283585275
0.00034196218361428764,1.25,11.937111620326448
0.00034202772169645727,1.25,12.021123576225392
0.00034209325977862696,1.25,12.103598097650561
0.00034215879786079665,1.25,12.184544088281314
0.00034222433594296634,1.25,12.263970409108126
0.00034228987402513597,1.25,12.341885878432336
0.00034235541210730566,1.25,12.418299271866388
0.00034242095018947535,1.25,12.493219322333658
0.00034248648827164504,1.25,12.566654720068527
0.00034254264172212676,1.25,12.628400208894263
0.00034259879517260848,1.25,12.689067552825534
0.0003426549486230902,1.25,12.74866214370023
0.00034271110207357192,1.25,12.807189351289821
0.00034276725552405364,1.25,12.864654523299265
0.00034282340897453536,1.25,12.921062985367058
0.00034287956242501708,1.25,12.976420041065268
0.0003429357158754988,1.25,13.03073097189943
0.00034299186932598051,1.25,13.084001037308667
0.00034304802277646223,1.25,13.136235474665625
0.00034309826192717013,1.25,13.182094886174966
0.00034314850107787802,1.25,13.227133229343053
0.00034319874022858585,1.25,13.27135421019338
0.00034324897937929375,1.25,13.314761521120857
0.00034329921853000164,1.25,13.357358840891848
0.00034334945768070953,1.25,13.399149834644192
0.00034339969683141742,1.25,13.44013815388719
0.00034344993598212526,1.25,13.480327436501568
0.00034350017513283315,1.25,13.519721306739569
0.00034355041428354104,1.25,13.558323375224816
0.00034360427953309628,1.25,13.598836119112576
0.00034365814478265157,1.25,13.638447188480697
0.00034370142294431203,1.25,13.66962251595217
0.00034370142294432179,1.25,13.669622515959148
0.00034376493879326853,1.25,13.714331936668117
0.00034382845464221528,1.25,13.757805817537246
0.00034389197049116202,1.25,13.800051280713575
0.00034395548634010877,1.25,13.84107541527851
0.00034401900218905551,1.25,13.88088527724787
0.00034404819008546002,1.25,13.898774109110349
0.00034404819008546978,1.25,13.898774109116289
0.00034419088759808251,1.25,13.982583850185023
0.00034433358511069524,1.25,14.060395189914487
0.00034447628262330798,1.25,14.132286076331582
0.00034461898013592076,1.25,14.1983336643776
0.00034476167764853349,1.25,14.258614315908147
0.00034490437516114622,1.25,14.313203599693054
0.00034504707267375896,1.25,14.362176291416546
0.00034518977018637169,1.25,14.405606373677045
0.00034533246769898442,1.25,14.443567035987371
0.00034547516521159721,1.25,14.476130674774566
0.00034552416987402928,1.25,14.486081524473803
0.0003455731745364613,1.25,14.495407205404064
0.00034562217919889337,1.25,14.504110586297372
0.00034567118386132539,1.25,14.512194525474968
0.00034572018852375747,1.25,14.5196618708475
0.00034576919318618954,1.25,14.526515459914776
0.00034581819784862156,1.25,14.532758119766072
0.00034586720251105364,1.25,14.53839266707979
0.00034591620717348566,1.25,14.543421908123804
0.00034596521183591773,1.25,14.547848638755141
0.0003460142164983498,1.25,14.551675644654182
0.00034606322116078182,1.25,14.554905700994908
0.0003461122258232139,1.25,14.557541572523462
0.00034616123048564592,1.25,14.559586013928083
0.00034621023514807799,1.25,14.561041769839278
0.00034625923981051007,1.25,14.561911574829622
0.00034630824447294209,1.25,14.562198153413931
0.00034635724913537416,1.25,14.561904220049087
0.00034640625379780618,1.25,14.561032479134212
0.00034645525846023825,1.25,14.559585625010584
0.00034652998300300369,1.25,14.556278373271539
0.00034660470754576918,1.25,14.551649608073546
0.00034667943208853462,1.25,14.545708746864278
0.00034675415663130006,1.25,14.538465155157354
0.00034682888117406555,1.25,14.529928146532455
0.00034690360571683099,1.25,14.520106982635156
0.00034697833025959643,1.25,14.509010873177033
0.00034705305480236187,1.25,14.496648975935756
0.00034712777934512736,1.25,14.483030396754771
0.0003472025038878928,1.25,14.4681641895437
0.0003472635013299862,1.25,14.455110321031043
0.00034732449877207956,1.25,14.441235977657101
0.00034738549621417296,1.25,14.426546007790563
0.00034744649365626637,1.25,14.411045237789949
0.00034750749109835972,1.25,14.394738472003752
0.00034756848854045313,1.25,14.377630492770407
0.00034762948598254654,1.25,14.35972606041824
0.00034769048342463995,1.25,14.341029913265572
0.0003477514808667333,1.25,14.321546767620561
0.00034781247830882671,1.25,14.301281317781388
0.00034787347575092011,1.25,14.280238236643839
0.00034793447319301347,1.25,14.258422174830997
0.00034799547063510687,1.25,14.235837760912915
0.00034805646807720028,1.25,14.212489602377246
0.00034811746551929363,1.25,14.188382285629558
0.00034817846296138704,1.25,14.163520375993158
0.00034823946040348045,1.25,14.137908417709156
0.00034830045784557385,1.25,14.111550933936371
0.00034836145528766721,1.25,14.08445242675154
0.00034842245272976061,1.25,14.056617377149053
0.00034848436363992414,1.25,14.027616897111727
0.00034854627455008767,1.25,13.997866885774243
0.00034860818546025119,1.25,13.967371962142579
0.00034867009637041472,1.25,13.93613672380198
0.0003487320072805783,1.25,13.904165746916959
0.00034879391819074183,1.25,13.871463586231414
0.00034885582910090536,1.25,13.838034775068451
0.00034891774001106888,1.25,13.803883825330502
0.00034897965092123241,1.25,13.769015227499267
0.00034904156183139594,1.25,13.733433450635772
0.00034910039630329278,1.25,13.698962933982884
0.00034915923077518968,1.25,13.66385617157907
0.00034921806524708653,1.25,13.628116945324678
0.00034927689971898338,1.25,13.591749020376071
0.00034933573419088028,1.25,13.55475614514576
0.00034939456866277713,1.25,13.517142051302301
0.00034945340313467398,1.25,13.478910453770325
0.00034951223760657088,1.25,13.440065050730581
0.00034957107207846772,1.25,13.400609523619835
0.00034962990655036457,1.25,13.360547537130955
0.00034968542639187295,1.25,13.322189683936216
0.00034974094623338133,1.25,13.283298081136081
0.00034979646607488971,1.25,13.243875767466122
0.00034985198591639809,1.25,13.203925768907609
0.00034990750575790647,1.25,13.163451098687531
0.00034996302559941485,1.25,13.12245475727849
0.00035001854544092323,1.25,13.080939732398861
0.00035007406528243161,1.25,13.038908999012691
0.00035012958512393999,1.25,12.9963655193297
0.00035018510496544837,1.25,12.953312242805325
0.00035024093809673634,1.25,12.909504870855088
0.00035029677122802431,1.25,12.865187876561691
0.00035035260435931233,1.25,12.820364220733666
0.0003504084374906003,1.25,12.775036851640493
0.00035046427062188827,1.25,12.729208705012681
0.00035052010375317624,1.25,12.682882704041759
0.00035057593688446421,1.25,12.636061759380155
0.00035063177001575218,1.25,12.58874876914139
0.0003506876031470402,1.25,12.540946618899952
0.00035074343627832817,1.25,12.492658181691283
0.00035080297978752487,1.25,12.44062813459287
0.00035086252329672151,1.25,12.388051728423179
0.0003509220668059182,1.25,12.334932400929262
0.0003509816103151149,1.25,12.281273574295469
0.00035104115382431159,1.25,12.227078655143401
0.00035110069733350823,1.25,12.172351034531943
0.00035116024084270493,1.25,12.11709408795717
0.00035121978435190162,1.25,12.061311175352486
